Home,Away,Date,YouTube
"SRFC","WNYF","2015-4-12","y8TpMLIWpbQ"
"WAS","FCKC","2015-4-18","rcCickzOThc"
"PTFC","WNYF","2015-4-18","8vu0o42jlhA"
"SBFC","HOU","2015-4-18","NBpelUWazow"
"CRS","SRFC","2015-4-18","L4tkLFV1v4c"
"FCKC","SRFC","2015-4-23","cXRhxzbxwBE"
"CRS","PTFC","2015-4-25","djRpoh8wCXc"
"BOS","HOU","2015-4-26","wowTjOZzcno"
"SBFC","WAS","2015-4-26","qqe-HxsfHz8"
"CRS","SBFC","2015-5-2","IGp2s_M1DuQ"
"WNYF","BOS","2015-5-2","ggKUJ3toHq0"
"HOU","FCKC","2015-5-2","PmeEUchrDKw"
"SRFC","WAS","2015-5-2","Viifwa6DiwM"
"WNYF","FCKC","2015-5-8","pZiG9iyf1Ls"
"CRS","BOS","2015-5-9","Utuye555R-8"
"SBFC","SRFC","2015-5-9","MxX8Bbl5710"
"PTFC","WAS","2015-5-9","Jh4F5GYKiTg"
"FCKC","WNYF","2015-5-14","rer58qao0-8"
"HOU","CRS","2015-5-15","vNeg212ySXY"
"BOS","PTFC","2015-5-16","Np-_-zP4H84"
"WAS","SBFC","2015-5-16",""
"BOS","SBFC","2015-5-22","Nx57GLogDIY"
"WNYF","WAS","2015-5-23","X8LUquuRJ2M"
"FCKC","CRS","2015-5-23","rlxqKqm9PR4"
"PTFC","HOU","2015-5-23","NYbrq3t3rv8"
"WAS","PTFC","2015-5-30","TsbfUGTnSYE"
"BOS","FCKC","2015-5-30","9JuxLg8PyB8"
"SRFC","CRS","2015-5-30","28WzKpWqxUQ"
"SBFC","HOU","2015-5-31","_o0AASx1Mnk"
"WAS","BOS","2015-6-6","_VlbNZq_y7I"
"WNYF","CRS","2015-6-6","oNT62d8FgfQ"
"HOU","PTFC","2015-6-6",""
"SRFC","SBFC","2015-6-6","PmkWPoX7Guk"
"PTFC","FCKC","2015-6-19","J6BFVbw73S4"
"HOU","WNYF","2015-6-20","suYqJOauKxs"
"BOS","SRFC","2015-6-21","TgXvpVS7sp4"
"WAS","HOU","2015-6-27",""
"SRFC","FCKC","2015-6-27","JYtPBSRAyDg"
"BOS","WNYF","2015-6-28",""
"SBFC","CRS","2015-6-28","jjEgD34AiqU"
"WNYF","SRFC","2015-7-3","n7ZfxhfR_fA"
"FCKC","WAS","2015-7-3","yjp39c1L0qg"
"PTFC","SBFC","2015-7-3","-wtstFbhsAE"
"BOS","FCKC","2015-7-9","zZwk4EbxSSs"
"SBFC","PTFC","2015-7-11","1u085wvA9aE"
"SRFC","WNYF","2015-7-11","FFQCKrVgmUE"
"HOU","CRS","2015-7-12","3ILINUlPIi0"
"WAS","SRFC","2015-7-18","V_N4VRyhFTw"
"CRS","BOS","2015-7-18","YgM5KJI2AFg"
"WNYF","SBFC","2015-7-19","h7xV33WqAZE"
"FCKC","HOU","2015-7-20","-nrYRljl0ak"
"BOS","CRS","2015-7-22",""
"PTFC","SRFC","2015-7-22","DZsUqt6wTm8"
"WAS","CRS","2015-7-25","Ru-2IPKaEeY"
"WNYF","HOU","2015-7-25","sKigEzBIrQo"
"SBFC","BOS","2015-7-25","cp5cIvtSFPk"
"SRFC","PTFC","2015-7-26","fczLsaHdogQ"
"WNYF","PTFC","2015-7-29","OHEcg3f2uxA"
"HOU","FCKC","2015-7-29","dt0cYinA62Q"
"BOS","SRFC","2015-8-1","M2YlXvnDHPM"
"WAS","HOU","2015-8-1","-ylhffRPkBI"
"SBFC","WNYF","2015-8-1","2POIA7XICls"
"CRS","FCKC","2015-8-1","2cWT6gX-2MM"
"PTFC","BOS","2015-8-5",""
"HOU","SBFC","2015-8-7",""
"BOS","WAS","2015-8-8","ZPAsnDFn9Es"
"FCKC","WNYF","2015-8-8","QLKaW52djxk"
"PTFC","CRS","2015-8-9",""
"CRS","SBFC","2015-8-12","wYVehuV2RZc"
"WAS","WNYF","2015-8-12","HUCoCMWRE1I"
"FCKC","PTFC","2015-8-12","uz7pEq_cqyI"
"SRFC","HOU","2015-8-12","ec_y52F7K_0"
"CRS","WAS","2015-8-16","ji7QW4QnHfI"
"HOU","SRFC","2015-8-21",""
"SBFC","PTFC","2015-8-22","7Xxfd2nbWH4"
"FCKC","BOS","2015-8-22","AUuWsg43Is0"
"CRS","WNYF","2015-8-23","xXiOF4yryWA"
"SRFC","BOS","2015-8-26","e8mryw5qTfk"
"FCKC","WAS","2015-8-27","aNuJHa6nArI"
"WNYF","CRS","2015-8-29","6jr92IJazgY"
"SRFC","SBFC","2015-8-29","6PD1B34kCAI"
"HOU","BOS","2015-8-30","YxljJEZjPr8"
"PTFC","WAS","2015-8-30",""
"SBFC","FCKC","2015-9-2",""
"WNYF","PTFC","2015-9-4",""
"WAS","SRFC","2015-9-5",""
"CRS","HOU","2015-9-6",""
